"State","Count","Name","Id","Chief Functionary","Chairman","Promoter Name 1","Promoter Name 2","Promoter Name 3","Promoter Name 4","Secretary","Treasurer","Umbrella-Parent Organisation","Registered","Type","Registration No","Date of Registration","City of Registration","Registration Certificate URL","FCRA Registration No","Key Issues","Operational Area-States","Operational Area-District","Major Activities-Achievements","City","Mobile Number","Email","Fax Number","Address","Phone number","Sectors Working In",,,,,"Website URL"
"Andhra Pradesh",2223,"CENTRE FOR RURAL ACTION","AP/2011/0040966","skswamy","skswamy","msreeramulu",,,,"devadanam","imammohiddin","centre for rural action","Registrar of Societies","Society","300/86",31/12/1986,"Anantapur","http://ngo.india.gov.in/ngo/c265de19912000101d687098cdc7e1f8.cera001"" 001.jpg",10120092,"Land Resources, Micro Finance (SHGs), Nutrition, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment","Andhra Pradesh",,"500 families from PPS committee are benefitted by acquiring usufruct rights in 2000 Acres of revenue lnd by the Govt. formed 100 T.C.S (Tappers Cooperative Society ) and 350 TFTs (Tree for tappers) 9 mandals of the district","anantapur",9246477103,"ceraatp@yahoo.co.in",,"CERA, 4-1133-1, Bhramaramba colony, Opp.Postal colony, Kalyanadurgam Road, Anantapur.","08554-248266","Land Resources, Micro Finance (SHGs), Nutrition, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment",,,,,
"Andhra Pradesh",2223,"CENTRE FOR RURAL DEVELOPMENT","AP/2011/0041041","Kiran Kumar P","Prakesh E",,,,,"Kiran Kumar P","Laxmi B","Karwani Islami","Registrar of Societies","Society",3159,18/04/2000,"Hyderabad","http://ngo.india.gov.in/ngo/e22a6535763824410b27c0e9f7e4fb1d.1."" Org Reg Cert CRD.jpg",10110040,"Animal Husbandry, Dairying & Fisheries, Agriculture, Children, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, Human Rights, Labour & Employment, Land Resources, Micro Small & Medium Enterprises, New & Renewable Energy, Nutrition, Panchayati Raj, Rural Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment","Andhra Pradesh",,"The major activity of the Organisation Watershed Development programmes, Agriculture Development and also we work on Child labour issues, /child Rights, Women Development etc. In Andhra Pradesh majority of people living in Rural areas and there main ocupation is Agriculture. But due to the climate change and the habits of human the rainfall is decreasing day by day. But the Agriculture needs water for good yeild. Because of this problems they are not getting good yeilds and the Farmers getting difficult to surview. Hence the Farmers Sucide cases are happening. To overcome this problem Watershed Development Project is a good solution. By implementing the Waterswhed Project in our experience we have noticied the increase in water table of that perticular area. So we have achivied so many sucessfull results. If water table increases the Agriculture production will also increases. With this the farmers will be happy.","Nirmal",9441505790,"crd.org@rediffmail.com",,"Centre for Rural Development ( C R D ) H. No. 1-3-23, Shastri Nagar Colony,","08734-243155","Animal Husbandry, Dairying & Fisheries, Agriculture, Children, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, Human Rights, Labour & Employment, Land Resources, Micro Small & Medium Enterprises, New & Renewable Energy, Nutrition, Panchayati Raj, Rural Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment",,,,,
"Andhra Pradesh",2223,"CENTRE FOR RURAL EDUCATION AND AGRICULTURE DEVELOPMENT SOCIETY","AP/2009/0013744","UMAKANTH CH","RAMESH A",,,,,"UMAKANTH CH","SATISH KUMAR G","Karwani Islami","Registrar of Societies","Trust","96/2002",17/07/2002,"ADILABAD","http://ngo.india.gov.in/ngo/creadngo.jpg",1011034,"Agriculture, Children, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Micro Finance (SHGs), Nutrition, Rural Development & Poverty Alleviation, Tribal Affairs, Vocational Training, Women's Development & Empowerment","Andhra Pradesh","Adilabad","RBC established for Girls&Boys till date we Mainstream 216 children in running schools under RVM. Imparted training to needy people about the formation of VSS & Preparation of 112 Micro Plans in view of Forest protection & conservation under CFM. Vocational training centre to provide income Generating activities to 9600 women in last 7 years. Cultural programs & Signature campaign against to HIV AIDS in 48 villages under RRE. Awareness Generation Programs & Condensed Course under CSWB.","SIRPUR KAGHAZNAGAR",9441165967,"creadngo@ymail.com",,"H.No. 1.16.104 BALAJI NAGAR ROAD SIRPUR KAGHAZNAGAR DIST. ADILABAD A.P 504296","00000-000000","Agriculture, Children, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Micro Finance (SHGs), Nutrition, Rural Development & Poverty Alleviation, Tribal Affairs, Vocational Training, Women's Development & Empowerment",,,,,
"Andhra Pradesh",2223,"CENTRE FOR RURAL EDUCATION AND DEVELOPMENT SOCIETY","AP/2009/0000781","Venugopal","Venkatesa Prathap",,,,,"Venugopal Rao","Upendranath","Karwani Islami","Registrar of Societies","Society","95 of 89",04/10/1989 00:00,"Anantapur","http://ngo.india.gov.in/ngo/CREDS-AP-NGO.jpg",10120106,"Children","Andhra Pradesh","Anantapur","Providing primary education with all amenities at free of cost to the children of Scheduled Castes, Scheduled Tribes, Agricultural labour, orphans etc., We have been providing education for the past 16 years.","GORANTLA",9440045891,"secretary_creds@rediffmail.com",,"Centre for Rural Education and Development Society, Door No.7-725, Bangalore Road, Near Gummaiahgari palli,","08556-264567","Children",,,,,
"Andhra Pradesh",2223,"CENTRE FOR RURAL STUDIES AND DEVELOPMENT","AP/2011/0040473","Hilda Grace Coelho","Hilda Grace Coelho","S Narayana","Promoter Name 2",,,"G Raghu Ram Kumar","M S Chandraleelamma","ASMITA","Registrar of Societies","Society","308/1991",10/07/1991 00:00,"Anantapur","http://ngo.india.gov.in/ngo/51a2abde3a2e07bdb512f8f5dac43dda.CRSD"" society registration.jpg",10120087,"Drinking Water, Education & Literacy, Health & Family Welfare, HIV/AIDS, Human Rights, Labour & Employment, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Tribal Affairs, Water Resources, Women's Development & Empowerment","Andhra Pradesh","Anantapur, Chittoor, Cuddapah, Kurnool, Nellore","Children Education CRD working in 70 villages of Rolla and Madakasira mandals, and consolidated our interventions in these villages. CRSD continued to ensure that all children complete 10th grade. We focused on English Language Teaching (ELT) as the second language for children of grades 3, 4 and 5 oral and written in the last one year. We have tested a set of materials for government teachers in English for grades 1 and 2. Our work with school not going children, children in schools upto grade 10, improvement of governance through parents proactive involvement, training of government school teachers and advocacy with the government education department about Multi Grade Multi Level methodology has made a good impact in the sector. Women CRSD promoted Adavalla Abhyudaya Sangham, a federation of women self help groups in 3 mdandals of Anantapur district. Through the forum legal aid was provided for the victims of domestic violence and counseling centre was also established to cater the needs. Health The Village Health Workers (VHW) programme is successful in 80 villages. All the 80 women were from local villages and were trained as VHWs. The training covered common reproductive health problems, STDs, nutritional deficiency diseases, tuberculosis, womenâ€™s reproductive health issues, anemia, dehydration, vitamin deficiency and others. HIVAID The campaign included organizing cultural shows, conducting meetings with the Self Help Groups, Youth associations, Womenâ€™s village federations, Gramasabhas etc. Handbills were prepared in simple Telugu, and were distributed to the villagers during these meetings. Dalit empowerment CRSD promoted Dalita Chaitanya Vedika to take up issues under the SC &ST Prevention of Atrocities Act 1989 in Anantapur district. Conducting awareness meetings and trainings for dalits networks and associations as well as taking up cases related to Atrocities were the main activities under dalit empowerment. Budget Advocacy CRSD initiated Citizen-Budget Advocacy work in Andhra Pradesh in 2007 with focus on research & studies in specific budget components, capacity building of NGOs through awareness & trainings and campaign on proper budget allocation for dalits, adivasis and women. CRSD has been involved in sensitizing the social activist groups, networks and political parties on the importance of Budget Analysis from a pro-poor perspective and demanding for better allocations to the poor in Andhra Pradesh. MGNREGS CRSD initiated the process of promotion of wage seekers associations under MGNREGS in four districts of Andhra Pradesh in 250 panchayats. The objective of the wage seekers associations was to build pressure on the administration to demand work under NREGS. The following are the activities of the associations. Watershed Development CRSD implemented 24 watersheds development programmes in 3 mandals, out of which were 10 under APRLP and 3 were under DDP VIII batch and 1 from CAPART. The Rayalaseema Watershed Development Programme (RWDP) which we implemented from 1996 to 2005 was an experimental programme with a focus on gender, dalit, equity and peoples participation with low cost and indigenous technology. We conducted a study in 52 APRLP watersheds as an Internal Resource Organisation (IRO).","Anantapur",9441417272,"crsdorg@sancharnet.in","08554-246259","CENTRE FOR RURAL STUDIES AND DEVELOPMENT 12-5-118, New SBI Lakshminarasaiah colony, Near AP Housing Board, Anantapur-515001, Andhra Pradesh.","08554-246872","Drinking Water, Education & Literacy, Health & Family Welfare, HIV/AIDS, Human Rights, Labour & Employment, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Tribal Affairs, Water Resources, Women's Development & Empowerment",,,,,"http://crsdindia.org"
"Andhra Pradesh",2223,"CENTRE FOR SOCIAL AND ECONOMIC DEVELOPMENT","AP/2009/0019443","A VISWANATHA REDDY","A VISWANATHA REDDY",,,,,"K NARASIMHAPPA","DHANANJAYA REDDY","Karwani Islami","Registrar of Societies","Society","19/2000",01/07/2000 00:00,"ANANTAPUR","http://ngo.india.gov.in/ngo/CSED2000.jpg",,"Animal Husbandry, Dairying & Fisheries, Aged/Elderly, Agriculture, Art & Culture, Biotechnology, Children, Civic Issues, Differently Abled, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Legal Awareness & Aid, Labour & Employment, Land Resources, Micro Finance (SHGs), Minority Issues, Micro Small & Medium Enterprises,","Andhra Pradesh","Anantapur","* Health programmes * Women and Child development activities * Nutrition programmes * Rain water harvesting * Environmental eduction * Afforesttion and eco development * Un orgnised labour issues * Science and technology * Enterprenurship development programmes * Food processing sector * Cultural activities * Scheduled caste and scheduled tribe welfare * Minority welfare and BC welfare * Agriculture sector * Elderly welfare *Poverty allevation programmes * Youth activities * Vocational Trainings * Awareness programmes on health, Environment, education, and Naturopathy * Educational promotion * Seminars on Indian languages * Science and technology realted issues * Housing and sanitation","ANANTAPUR",9037784704,"csed_org@yahoo.com",,"CENTRE FOR SOCIAL AND ECONOMIC DEVELOPMENT, KOTLOPALLI, KODUR POST CHILAMATHUR MANDAL ANANTAPUR DISTRICT ANDHRA PRADESH PIN- 515601","08556-204224","Animal Husbandry, Dairying & Fisheries, Aged/Elderly, Agriculture, Art & Culture, Biotechnology, Children, Civic Issues, Differently Abled, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Legal Awareness & Aid, Labour & Employment, Land Resources, Micro Finance (SHGs), Minority Issues, Micro Small & Medium Enterprises,",,,,,
"Andhra Pradesh",2223,"CENTRE FOR UPLIFTMENT OF RURAL DOWNTRODDEN","AP/2009/0005437","Thumma Devadanam","Thumma Devadanam","D Rajendra Prasad","Promoter Name 2","A Bhaskar",,"T Gopinath","T Sheela Elezebeth Kumari","Association For Rural Mass","Registrar of Societies","Society",Apr-09,20/01/2009,"Gudur","http://ngo.india.gov.in/ngo/upliftment.jpg",,"Rural Development & Poverty Alleviation","Andhra Pradesh","Nellore","Service in the field of education participating in BADIBATA literacy programe intigrated child Health.awareness, Aged welfair and upliftment of downtrodden people arround in gudur division of Nellore District","Sullurupet",9248180637,"upliftmentorg@gmail.com",,"D.No.8-122,Swathanthrapuram, near SHAR bustant,Sullurupet post&Mandal,Sri potti SreeramuluNellore District,Andhra pradesh,South India.Pin code:524121.","08623-248946","Rural Development & Poverty Alleviation",,,,,
"Andhra Pradesh",2223,"CENTRE FOR URBAN AND RURAL ENLIGHTENMENT","AP/2009/0021687","BALASASIDHAR V","MSOMASEKHAR RAJU",,,,,"BALASASIDHAR V","P SESHACHALAM","Karwani Islami","Registrar of Societies","Society","336/2009",11/09/2009 00:00,"TIRUPATI","http://ngo.india.gov.in/ngo/CURENGO.jpg",,"Rural Development & Poverty Alleviation, Urban Development & Poverty Alleviation","Andhra Pradesh","Anantapur, Chittoor, Cuddapah","WE ARE NEWLY STARTED ORGANISATION WITH COMMITMENT AND WE ARE LOOKING FOR RENOVATING THE PONDS IN VILLAGES AND URBAN AREAS WHICH ARE ALMOST DISAPPEARED BECAUSE OF NON-MAINTANINACE AND OCCUPATION TO STORE THE RAIN WATER AND IMPROVE THE GROUND WATER LEVELS.","TIRUPATI",9440066166,"balasasidharv@gmail.com",,"CENTRE FOR URBAN AND RURAL ENLIGHTENMENT, D.NO. 7-3-102, R.S. MADA STREET, TIRUPATI-517507","0877-3201166","Rural Development & Poverty Alleviation, Urban Development & Poverty Alleviation",,,,,
"Andhra Pradesh",2223,"CENTRE FOR YOUTH AND RURAL DEVELOPMENT","AP/2010/0027429","K PREMNATH","M A THAHER",,,,,"K PREMNATH","M A THAHER","Karwani Islami","Registrar of Societies","Society",4593,18/09/1998,"HYDERABAD","http://ngo.india.gov.in/ngo/cyrdngojcl.jpg",,"Art & Culture, Children, Civic Issues, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, HIV/AIDS, Housing, Labour & Employment","Andhra Pradesh","Mahabubnagar","CYRD activities relates to various issues of Health , Education , Enviorment, Women and Dalit empowerment , Youth , AGriculture , Thrift and credit , Aged destitute , Child Care, child Labour , Mentally Retarded , Skill Development Trainings, Income generattion in order to up bring teh down trodden people","JADCHERLA",9346354520,"premnath_kommu@rediffmail.com",,"K PREMNATH, SECRETARY LIG 98, APHB COLONY JADCHERLA MAHABUBNAGAR DIST PIN 509301 ANDHRA PRADESH","08542-202626","Art & Culture, Children, Civic Issues, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, HIV/AIDS, Housing, Labour & Employment",,,,,
"Andhra Pradesh",2223,"CENTRE FORRURAL ENVIRONMENT AND HILL AREA TECHNOGY","AP/2009/0007246","Bongu Suryanarayana","Kolli Nooka Raju","P Jagadishraju","Promoter Name 2","P Jagadishraju","N Gowri","Bongu Suryanarayana","Bongu Sarswathi","National Trust, Govt. of India","Registrar of Societies","Society",547,17/11/1995,"Vijayanagaram","http://ngo.india.gov.in/ngo/creatsociety1995.jpg",,"Animal Husbandry, Dairying & Fisheries, Agriculture, Art & Culture, Children, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, HIV/AIDS, Human Rights","Andhra Pradesh","Srikakulam, Visakhapatnam, Vizianagaram","The object for which the centre is formed area: The foundation of the universal brotherhood of mankind and concern and love for the undrepriveleged and down trodden In furtherance of theis object the centre will organize, establish, consolidate, maintain, support and encourage all charitable and uplifting activeties of a comprehansive nature in any field of human enterprised, more particulary in the field of agriculture, education, helath animalhusbandry, protect the handicraft people, prohibited to the child labour, assistance to the selfemployment schmenes, see the welfare of the quary labour, protect the environmental services, housing and cottage industries etc., with an emphasis on environmental balance. To make a scintific investigation and anlysis of the socialogical developments concerning the development theries and to document to the society. To employ teach and train extension workes and craftman in Rural and Appropriate technologies so as to ofer opportunities through the dignity of labour and to start and activities to further and end. To establish, promote or assist in establishing or promoting and to subscribe to or become a member of any society or association whose objects are similar to objects of the centre. Certify that the assocition do not agree as any unlawful activities. The Association works with non-profit, non-loss motive. Its activities are open to all citizens of India irrespective of religion, Caste, Creede Sex or Race. Its is not connected to any political party. It will one adopt constitutional and non-voilent means for Rural Developmented buy profession also and competent persons. The objects are broad based to develop the rural communities in a systamatic, scientific and in an interested manner. Agricultural Development Human Resource Development Primary Health Care Food & Nutrition, Immunization of sir diseases Water & Sanitation Rehabilitation, Health Education Educational Programs Girl Child Education Child Labour Education Non-formal Education Supplimentary Education Adult Education Distancemode Education Vocational Trainings NEAC Kadhi Industries Awareness Campigns","Salur",9989862045,"creatsociety@yahoo.in",,"CREAT (NGO) B. Surya Narayana (Chief Functionary) Konki Veedhi, Salur (post & Mandal) 535591","08964-251207","Animal Husbandry, Dairying & Fisheries, Agriculture, Art & Culture, Children, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, HIV/AIDS, Human Rights",,,,,
"Andhra Pradesh",2223,"CEPHAS FOUNDATION CHARITABLE TRUST","AP/2009/0017026","Helen Hemalatha Simon","Helen Hemalatha Simon",,,,,"David Edwin",,"Karwani Islami","Sub-Registrar","Trust","74/2001/IV",27/11/2001,"Hyderabad","http://ngo.india.gov.in/ngo/cfctrust.jpg",,"Aged/Elderly, Education & Literacy, Health & Family Welfare, HIV/AIDS, Nutrition, Panchayati Raj, Women's Development & Empowerment","Andhra Pradesh","Guntur, Hyderabad, Khammam, Krishna, Prakasam","Free medical care is given in 25 villages in Khammam and Krishna Districts with health and nutrition education. Two urban slums are surveyed and community transformation activities are being planned. Now free medical camps are conducted with health and nutrition education . Education of the girls and literacy of the adult women are also being taken up.home for abandoned women and education of their children also is being taken up. Free medical care to destitutes is also being given with counselling. These activities are being taken up in collaboration with other NGOs .","Hyderabad",9491868772,"helenhemalatha@yahoo.co.in",,"104, SatyaKrishna Sirisampada Apartments, Shamlal Building, Begumpet, Hyderabad.500016","040-27766727","Aged/Elderly, Education & Literacy, Health & Family Welfare, HIV/AIDS, Nutrition, Panchayati Raj, Women's Development & Empowerment",,,,,
"Andhra Pradesh",2223,"CFBT EDUCATION SERVICES","AP/2009/0002784","GVS Prasad","NA",,,,,"NA","KP Sarma Finance Manager","CfBT Education Trust UK","Registrar of Companies","Section 25 Company","01-41987 of 2003-2004",11/03/2003 00:00,"Hyderabad","http://ngo.india.gov.in/ngo/cfbteduservices.jpg","Applied on May 01 2008","Children, Education & Literacy, Legal Awareness & Aid, Micro Finance (SHGs), Right to Information & Advocacy, Rural Development & Poverty Alleviation, Tribal Affairs, Women's Development & Empowerment, Youth Affairs","Andhra Pradesh, Tamil Nadu","Anantapur, Chittoor, Guntur, Hyderabad, Kurnool, Rangareddy, Warangal, Chennai, Nilgiris","CfBTES offers a package of services to schools to help raise the standards of education. The package includes: 1.Customised School Improvemnent Plan 2.Management Development Programme 3.In-service Teacher Orientation Programme 4.The Education Resource Centre 5.English Language Programme Partnership with Govt - Working with SERP (Society for Eliminiation of Rural Poverty) - working with SHGs in Warangal and Anantpur districts. Partnership with NGOs - 1.Work with Rotary Club of Hyderabad - identify students from various schools for Merit-cum-Means scholarships and organise Career Fairs for high school students. 2.Work with CCF on a school based quality improvement programme in Kadiri, Anantapur, Chittoor and Kurnool.","Hyderabad",9246557472,"gvsp@cfbtes.com","040-23230930","CfBT Education Services 2-C, Samrat Commercial Complex, Saifabad, Opp. AGs Office","040-66259722","Children, Education & Literacy, Legal Awareness & Aid, Micro Finance (SHGs), Right to Information & Advocacy, Rural Development & Poverty Alleviation, Tribal Affairs, Women's Development & Empowerment, Youth Affairs",,,,,"http://www.cfbtes.com"
"Andhra Pradesh",2223,"CHAITANYA BHARATHI","AP/2010/0026491","KMANMADHARAO","BRKRAJU",,,,,"KMANMADHARAO","GJAGADEESH","Karwani Islami","Registrar of Societies","Society",267,12/07/1991 00:00,"VIZIANAGARAM","http://ngo.india.gov.in/ngo/ChaitanyaBharathi.PDF",10370037,"Animal Husbandry, Dairying & Fisheries, Aged/Elderly, Children, Differently Abled, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, HIV/AIDS, Legal Awareness & Aid, Micro Finance (SHGs), Panchayati Raj, Rural Development & Poverty Alleviation, Tribal Affairs, Vocational Training, Women's Development & Empowerment, Youth Affairs","Andhra Pradesh","Vizianagaram","Major Activities/Achievements * Chaitanya Bharathi focused mainly on Women and Child development and successfully implementing Swadhar and Helpline project activities supported by the Women and Child Development department,Ministry of HRD,GOI,New Delhi.The poject has been aimed to help the women and children for their overall development with the following activities. ï¶ Rehabilitation ï¶ Providing free accommodation and other basic needs ï¶ Health and hygienic facilities ï¶ Recreation ï¶ Education to the children of the inmates. ï¶ Awareness generation and counseling ï¶ Vocational trainings ï¶ Linkages with concerned departments ï¶ Clinical an legal support ï¶ Toll free phone facility ï¶ Legal and psychological counselling. ï¶ Referral services ï¶ Review and monitoring by the home committee. RESULTS: ï¶ 64 inmates were have been rehabilitated during this year through Swadhar Shelter home. ï¶ 100 inmates have been provided with basic needs along with health and hygiene facilities. ï¶ Inmates have been provided T.V.,VCD,Caroms,Skipping,Radio,Ludo etc. as a part of recreation. ï¶ 100 inmates were provided with boxes, beddings etc. ï¶ 20 inmates have been referred to Govt. hospital for necessary treatment. ï¶ 25 inmates have learned basics in computer programme. ï¶ 58 inmates have been gained knowledge in tailoring and embroidery. ï¶ 35 inmates have learnt skills in leaf plate making. ï¶ 27 inmates have acquired knowledge in making decorative flowers. ï¶ 15 inmates have been provided economic assistance by Banks for their self reliance. ï¶ 18 inmates have been self employed in tailoring and leaf plate making. ï¶ 81 inmates were restored to their parents and relatives after giving proper counseling. ï¶ 360 women were generated awareness through 9 awareness camps in 6 villages. ï¶ 132 people have been availed the toll free helpline phone facilities got counseling","VIZIANAGARAM",9440343498,"chaitanyabharathi_vzm@rediffmail.com",,"CHAITANYA BHARATHI PLOT.NO.70,C.B.COLONY, P.O.CONTONMENT, VIZIANAGARAM-535003 A.P. INDIA","08922-237676","Animal Husbandry, Dairying & Fisheries, Aged/Elderly, Children, Differently Abled, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, HIV/AIDS, Legal Awareness & Aid, Micro Finance (SHGs), Panchayati Raj, Rural Development & Poverty Alleviation, Tribal Affairs, Vocational Training, Women's Development & Empowerment, Youth Affairs",,,,,
"Andhra Pradesh",2223,"CHAITANYA BHARATHI GRAMABHIVRUDDHI YUVAJANA SEVA SANGAM","AP/2010/0038034","J A Swami Naidu","G Ramu",,,,,,,"Karwani Islami","Registrar of Societies","Society","21/2000",01/05/2000 00:00,"Visakhapatnam","http://ngo.india.gov.in/ngo/df8b3f63cda179dc12b6697b33855ded.dfgfg.jpg",,"Aged/Elderly, Agriculture, Art & Culture, Biotechnology, Children, Civic Issues, Differently Abled, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Legal Awareness & Aid, Labour & Employment, Micro Finance (SHGs), Micro Small & Medium Enterprises, New & Renewable Energy, Nutrition, Panchayati Raj, Right to Information & Advocacy","Andhra Pradesh",,"Youth development Women Empower ment Child Rights Human Rights Agriculture Child Labor Development Tribel Development Handicrafts",,,"chaitanyabharathi@gmail.com",,"Golugonga Village, & Mandal, Visakhapatnam Dist-531084","09666-830271","Aged/Elderly, Agriculture, Art & Culture, Biotechnology, Children, Civic Issues, Differently Abled, Disaster Management, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Legal Awareness & Aid, Labour & Employment, Micro Finance (SHGs), Micro Small & Medium Enterprises, New & Renewable Energy, Nutrition, Panchayati Raj, Right to Information & Advocacy",,,,,
"Andhra Pradesh",2223,"CHAITANYA EDUCATIONAL AND RURAL DEVELOPMENT SOCIETY","AP/2009/0016196","L Ramakrishna Reddy","L Ramakrishna Redy","M Sunanda","Promoter Name 2","M Sunanda",,"M Sujatha","M Venkataswamy","Karwani Islami","Registrar of Societies","Society","37 of 1990",19/02/1990,"Cuddapah","http://ngo.india.gov.in/ngo/chaitanyakdp.jpg",10160206,"Children, Drinking Water, Education & Literacy, HIV/AIDS, Tribal Affairs","Andhra Pradesh","Cuddapah, Kurnool","1. India HIV AIDS Alliance 2. Balasahyoga Programme 3. Old Age Home 4. Mobile Medicare Unit 5. Low Litercay POckets 6. Child Labour School 7. NABARD Water Sheds 8. Tank Management","Jammalamadugu",9908804343,"cerdsjmd@yahoo.co.in","08560-278462","4/152, Nehru Nagar Jammalmadugu, Kadapa District Andhra Pradesh INDIA (S) - 516434","08560-270863","Children, Drinking Water, Education & Literacy, HIV/AIDS, Tribal Affairs",,,,,
"Andhra Pradesh",2223,"CHAITANYA EDUCATIONAL AND RURAL DEVELOPMENT SOCIETY","AP/2009/0016640","N Srinivasa Rao","O Venkata Rao","G Siva Ratna Kumari","Promoter Name 2","T Suresh Babu","I Srinivas Rao","N Srinivasa Rao","K Siva parvathi","Karwani Islami","Registrar of Societies","Society","499/1996",11/05/1996 00:00,"Ongole","http://ngo.india.gov.in/ngo/cerdsns.jpg",,"Agriculture, Children, Drinking Water, Health & Family Welfare, Nutrition, Rural Development & Poverty Alleviation, Sports, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs","Andhra Pradesh","Guntur, Prakasam","Since its inception 1996, CERDS has organized several sensitization programmes i.e., cultural activities, mass meetings, group meetings, capacity building training camps, work shops exclusively on Child Labour Eradication, Rural Livelihoods, Skill Up-gradation, Health and Sanitation, Farmers issues, Construction Management, Echo-Friendly Activities, Water Management, Vocational Skill Trainings for Adolscnets, Women and Child Rights. Through all these activities, it has brought significant changes in 20 rural disadvantaged communities of Prakasam and Guntur Districts in Andhra Pradesh.","Chilakaluripet",9666159615,"cerdsns@gmail.com",,"Chaithanya Educational and Rural Development Society (CERDS), H.No: 3-68/1, 5th Lane, Pandaripuram, Chilakaluripet - 522616","08647-252333","Agriculture, Children, Drinking Water, Health & Family Welfare, Nutrition, Rural Development & Poverty Alleviation, Sports, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs",,,,,"http://www.cerds-india.org"
"Andhra Pradesh",2223,"CHAITANYA FOUNDATION","AP/2009/0020676","P Suresh","P Suresh","Sudhakar","Promoter Name 2",,,"Vamsee Kalyan","Kusuma P","Rama Krishna Bhakta Samajam","Sub-Registrar","Trust","108/08",17/06/2008,"Hyderabad",,,"Art & Culture, Children, Civic Issues, Drinking Water, Education & Literacy, Health & Family Welfare, Housing, Information & Communication Technology, Labour & Employment, Micro Finance (SHGs), Micro Small & Medium Enterprises, Panchayati Raj, Rural Development & Poverty Alleviation, Urban Development & Poverty Alleviation, Water Resources","Andhra Pradesh, Chhattisgarh, Goa, Karnataka, Orissa, Puducherry","Adilabad, Anantapur, Chittoor, Cuddapah, East Godavari, Guntur, Hyderabad, Karimnagar, Khammam, Krishna, Kurnool, Mahabubnagar, Medak, Nalgonda, Nellore, Nizamabad, Prakasam, Rangareddy, Srikakulam, Visakhapatnam, Vizianagaram, Warangal, West Godavari, Bastar, Bilaspur, Dantewada, Dhamtari, Durg, Janjgir-Champa, Jashpur, Kanker, Kawardha, Korba, Korea, Mahasamund, Raigarh, Raipur, Rajnandgaon, Surguja, North Goa, South Goa, Bagalkot, Bangalore, Bangalore Rural, Belgaum, Bellary, Bidar, Bijapur, Chamrajnagar, Chickmagalur, Chitradurga, South Kannada, Davangere, Dharwad, Gadag, Gulbarga, Hassan, Haveri, Kodagu, Kolar, Koppal, Mandya, Mysore, Raichur, Shimoga, Tumkur, Udupi, North Kannada, Angul, Balangir, Baleswar, Bargarh, Boudh, Bhadrak, Cuttack, Deogarh, Dhenkanal, Gajapati, Ganjam, Jagatsinghapur, Jajpur, Jharsuguda, Kalahandi, Kandhamal, Kendrapara, Kendujhar, Khordha, Koraput, Malkangiri, Mayurbhanj, Nabarangapur, Nayagarh, Nuapada, Puri, Rayagada, Sambalpur, Subarnapur, Sundergarh, Karaikal, Mahe, Pondicherry, Yanam","Providing Safe Drinking Water to Rural and Urban population at very low price. Creating Employment to rural people in the fields of IT, Marketing, Finance, etc","Hyderabad",9396910169,"apexsuresh@gmail.com","040-27100926","H.No 36-137/3/1, Defence Colony, Sainikpuri","040-27111721","Art & Culture, Children, Civic Issues, Drinking Water, Education & Literacy, Health & Family Welfare, Housing, Information & Communication Technology, Labour & Employment, Micro Finance (SHGs), Micro Small & Medium Enterprises, Panchayati Raj, Rural Development & Poverty Alleviation, Urban Development & Poverty Alleviation, Water Resources",,,,,
